epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.096,0.06544,1,1,0.00017,0.000554291,0.000554291,0.000554291
2,74.2321,5e-05,1,1,3e-05,0.00108798,0.00108798,0.00108798
