track_id,matricula,frame,timestamp,confianza
8,71,21,16:12:56,0.5762509107589722
13,DETOCT,41,16:12:57,0.5322439670562744
10,KAI,57,16:12:58,0.5690003633499146
19,AN,113,16:13:00,0.7260856628417969
20,2,143,16:13:01,0.7199679613113403
17,ONG,165,16:13:02,0.5350981950759888
23,,192,16:13:03,0.566084086894989
27,AL,241,16:13:04,0.5368536114692688
33,,256,16:13:05,0.5828743577003479
31,GILA,269,16:13:05,0.5151659250259399
38,DON,274,16:13:06,0.5900834202766418
29,ID2,275,16:13:06,0.6628981232643127
36,T,302,16:13:07,0.6773252487182617
42,JID,364,16:13:09,0.5084856748580933
41,1,369,16:13:09,0.6618759036064148
44,DEL,430,16:13:11,0.5941091179847717
51,1,505,16:13:13,0.6677736043930054
47,A,512,16:13:13,0.6185806393623352
52,JD51,513,16:13:14,0.516628086566925
50,51,515,16:13:14,0.5193677544593811
57,OEL,559,16:13:15,0.5283558964729309
58,AII,595,16:13:16,0.5927708745002747
62,61,627,16:13:17,0.5336447954177856
61,AIA,657,16:13:19,0.6123185157775879
60,DETAR,675,16:13:19,0.5016558170318604
64,KE,708,16:13:20,0.6656625270843506
71,1DR7O,735,16:13:21,0.7181808948516846
66,KAIN,782,16:13:23,0.5238014459609985
78,DIA,786,16:13:23,0.5112550258636475
81,ID66,806,16:13:23,0.6366390585899353
70,IDE,815,16:13:24,0.8484771847724915
83,2,818,16:13:24,0.5110048055648804
82,V,844,16:13:25,0.7282820343971252
87,1,899,16:13:28,0.7578679323196411
84,D2RE,902,16:13:28,0.517628014087677
74,EEE,906,16:13:28,0.8143015503883362
92,1DE7,944,16:13:29,0.5675384998321533
91,NNN,955,16:13:30,0.5224775075912476
94,OI,962,16:13:30,0.5008180141448975
79,,997,16:13:31,0.5762099027633667
99,YNNID7,1030,16:13:32,0.5233653783798218
105,E,1058,16:13:33,0.5598728656768799
101,LS,1058,16:13:33,0.507195234298706
106,15,1077,16:13:34,0.5097805857658386
111,106,1120,16:13:36,0.5329998731613159
113,1,1128,16:13:36,0.5294466018676758
116,ID,1136,16:13:36,0.5639535784721375
109,14,1144,16:13:37,0.5745458006858826
127,412,1278,16:13:42,0.5336072444915771
129,1,1293,16:13:42,0.5393196940422058
132,117,1346,16:13:45,0.548766553401947
134,FAIA,1348,16:13:45,0.6136910915374756
137,13,1378,16:13:46,0.5136355757713318
125,OCKG,1420,16:13:48,0.510288417339325
142,D2R,1444,16:13:50,0.5664909482002258
153,7186,1527,16:13:54,0.5002899169921875
141,JOPE,1569,16:13:56,0.7447939515113831
163,02160,1591,16:13:57,0.5003581047058105
159,ID,1591,16:13:57,0.5332782864570618
168,ONDOEONIDR73,1618,16:13:58,0.5191220641136169
73,E,1638,16:13:59,0.6421294212341309
178,LS,1701,16:14:01,0.526539146900177
180,ID,1763,16:14:04,0.5509487986564636
179,,1775,16:14:04,0.722700834274292
177,D,1777,16:14:04,0.5267637968063354
187,DOT,1831,16:14:07,0.5076411962509155
188,TANDOS,1840,16:14:07,0.5693824887275696
182,,1862,16:14:08,0.5121938586235046
190,TAI,1875,16:14:08,0.6218094229698181
193,DE,1902,16:14:09,0.5109185576438904
191,AN,1955,16:14:11,0.6424173712730408
204,I,2073,16:14:17,0.5015885829925537
202,ID,2093,16:14:18,0.5286118388175964
213,93,2097,16:14:18,0.5663860440254211
214,21,2098,16:14:18,0.5150832533836365
192,72NE,2115,16:14:19,0.8007489442825317
222,3,2139,16:14:20,0.5330473780632019
223,AI,2154,16:14:21,0.5043751001358032
227,ID19,2184,16:14:22,0.6417993903160095
219,1,2238,16:14:24,0.7877401113510132
228,DIZ,2274,16:14:25,0.6198875308036804
237,01,2353,16:14:27,0.5947519540786743
235,,2385,16:14:28,0.6206855773925781
241,2,2420,16:14:29,0.5264015197753906
239,CG,2441,16:14:30,0.6883072257041931
244,KK,2574,16:14:35,0.7093344330787659
246,LS,2579,16:14:35,0.5274021029472351
240,O,2603,16:14:36,0.6456437706947327
254,7L,2660,16:14:37,0.5714506506919861
252,TAR,2662,16:14:37,0.6531580686569214
249,,2664,16:14:37,0.7668646574020386
259,AR,2698,16:14:38,0.5413917899131775
260,A,2749,16:14:40,0.735675036907196
261,NT,2819,16:14:41,0.7081798911094666
266,DEL,2851,16:14:42,0.5153064727783203
267,UG,2890,16:14:43,0.6739540696144104
76,ID,2902,16:14:44,0.5222159624099731
270,ID,2908,16:14:44,0.6795715689659119
278,ID,2997,16:14:46,0.6809194087982178
281,1,3045,16:14:48,0.5135624408721924
285,2,3054,16:14:48,0.6242700219154358
284,IL,3067,16:14:49,0.6273086071014404
290,3E,3122,16:14:50,0.5651154518127441
275,LRON,3123,16:14:51,0.5999201536178589
292,0P28,3137,16:14:51,0.6175855994224548
294,ID,3183,16:14:53,0.5098578333854675
297,ID,3233,16:14:55,0.5466405153274536
295,1,3240,16:14:55,0.7010311484336853
301,CRAOI,3350,16:14:58,0.7935266494750977
302,20,3399,16:14:59,0.824459969997406
318,ID,3458,16:15:01,0.5268467664718628
325,ID,3533,16:15:04,0.574310839176178
316,,3549,16:15:04,0.747921347618103
339,IDE,3819,16:15:12,0.5828607082366943
334,TAIIDL,3851,16:15:13,0.7320132255554199
341,OPND,3932,16:15:16,0.5493906140327454
344,ID,3970,16:15:17,0.5788078904151917
349,7,4003,16:15:18,0.5411146879196167
352,3,4047,16:15:20,0.5300424098968506
353,2,4053,16:15:20,0.6448115706443787
363,IDEZ,4061,16:15:20,0.5296727418899536
365,88,4070,16:15:21,0.5109524130821228
369,E,4073,16:15:21,0.5452516674995422
374,ID,4120,16:15:23,0.5045126676559448
375,ID,4175,16:15:25,0.7522430419921875
384,374,4181,16:15:25,0.5239938497543335
389,ID,4217,16:15:27,0.5694606304168701
382,CTOC,4255,16:15:29,0.626929521560669
385,,4296,16:15:31,0.554613471031189
376,1,4301,16:15:31,0.6600717902183533
398,IDZ,4311,16:15:31,0.5093327760696411
394,ID,4351,16:15:33,0.5518032312393188
403,BIHENYILIVE,4441,16:15:36,0.5115588903427124
414,CHAC,4443,16:15:36,0.5166590809822083
415,COAILID,4446,16:15:36,0.5578170418739319
427,AIG,4572,16:15:40,0.5245571136474609
434,ID,4600,16:15:41,0.5833690762519836
435,ID4,4628,16:15:42,0.5593633651733398
426,IPR421,4666,16:15:44,0.656999409198761
445,1,4688,16:15:45,0.6018040180206299
451,ACK,4721,16:15:46,0.5009591579437256
455,A,4739,16:15:47,0.5877071619033813
459,UE,4757,16:15:47,0.6492998600006104
462,I2,4768,16:15:48,0.539291262626648
452,DR,4814,16:15:50,0.6166103482246399
465,ID,4840,16:15:51,0.5197515487670898
471,TAO,4845,16:15:51,0.7406901717185974
477,10,4857,16:15:51,0.5070714950561523
482,ID,4898,16:15:53,0.5451445579528809
480,ID,4913,16:15:53,0.5237959623336792
473,ID,4936,16:15:54,0.6951543688774109
397,T,4975,16:15:55,0.5203782916069031
491,ID,5013,16:15:56,0.5788236856460571
497,2L,5059,16:15:58,0.5499545931816101
484,ID,5066,16:15:58,0.5546998977661133
488,ID47,5084,16:15:59,0.7875516414642334
492,,5127,16:16:00,0.6084959506988525
511,NDOR,5167,16:16:02,0.5836789608001709
515,UIS,5213,16:16:04,0.6226881146430969
521,O4RG,5217,16:16:04,0.5366677045822144
524,DORG,5241,16:16:05,0.5590853095054626
516,DI,5246,16:16:05,0.5232866406440735
523,42S,5247,16:16:05,0.5225886106491089
522,1D511,5324,16:16:08,0.5424696803092957
525,JD5,5419,16:16:12,0.5694465041160583
535,210,5428,16:16:12,0.6380071043968201
556,1,5494,16:16:15,0.6006688475608826
545,ID4S,5523,16:16:16,0.6836386322975159
558,IDON,5538,16:16:16,0.5756148099899292
555,GI,5555,16:16:17,0.5020427107810974
565,1,5616,16:16:19,0.5449258089065552
510,O,5625,16:16:20,0.7873936891555786
568,ID,5632,16:16:20,0.576273500919342
563,8,5634,16:16:20,0.5108449459075928
569,CCONG,5644,16:16:20,0.5507859587669373
572,ANGOH56,5660,16:16:21,0.5310901403427124
574,ID,5732,16:16:24,0.5427967309951782
585,ID,5769,16:16:25,0.5566707253456116
581,ALORG,5814,16:16:26,0.5087943077087402
595,ID,5827,16:16:27,0.5419034361839294
598,565,5832,16:16:27,0.5865626335144043
600,IU9N565,5834,16:16:27,0.515819251537323
605,IOGG,5879,16:16:29,0.5410645008087158
608,ID5,5890,16:16:29,0.5009665489196777
