epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.2384,0.06544,1,1,0.00017,0.000554291,0.000554291,0.000554291
2,79.0967,5e-05,1,1,3e-05,0.00108798,0.00108798,0.00108798
3,112.483,2e-05,1,1,2e-05,0.00159967,0.00159967,0.00159967
4,146.851,1e-05,1,1,1e-05,0.00156798,0.00156798,0.00156798
